Date,Time,GPSLongitude,GPSLatitude,Datetime
2023-08-06,0:17:42,-82.3401415,29.6199034,8/6/2023 0:17:42
2023-08-06,0:18:47,-82.342598,29.614758,8/6/2023 0:18:47
2023-08-06,0:19:57,-82.3551993,29.6136208,8/6/2023 0:19:57
2023-08-06,0:21:02,-82.3666944,29.6069133,8/6/2023 0:21:02
2023-08-06,0:22:12,-82.3716634,29.6113394,8/6/2023 0:22:12
2023-08-06,0:23:22,-82.3724277,29.6180475,8/6/2023 0:23:22
2023-08-06,0:24:27,-82.3726082,29.6229976,8/6/2023 0:24:27
2023-08-06,0:25:32,-82.372518,29.6310679,8/6/2023 0:25:32
2023-08-06,0:26:42,-82.3724778,29.6371818,8/6/2023 0:26:42
2023-08-06,0:27:47,-82.3752596,29.6377654,8/6/2023 0:27:47
2023-08-06,0:28:57,-82.3808965,29.6366472,8/6/2023 0:28:57
2023-08-06,0:30:07,-82.3838711,29.6342001,8/6/2023 0:30:07
2023-08-06,0:31:12,-82.3889995,29.636141,8/6/2023 0:31:12
2023-08-06,0:32:17,-82.3975083,29.6399366,8/6/2023 0:32:17
2023-08-06,0:33:27,-82.4090766,29.6398423,8/6/2023 0:33:27
2023-08-06,0:34:37,-82.4181696,29.63094,8/6/2023 0:34:37
2023-08-06,0:35:47,-82.4224523,29.636785,8/6/2023 0:35:47
2023-08-06,0:36:57,-82.4224118,29.6446416,8/6/2023 0:36:57
2023-08-06,0:38:07,-82.4223934,29.6478488,8/6/2023 0:38:07
2023-08-06,0:38:47,-82.4221412,29.6533534,8/6/2023 0:38:47
2023-08-06,0:39:01,-82.4187347,29.6551122,8/6/2023 0:39:01
2023-08-06,0:39:52,-82.4176046,29.6552194,8/6/2023 0:39:52
2023-08-06,0:40:57,-82.4186515,29.6556785,8/6/2023 0:40:57
2023-08-06,0:43:17,-82.4187887,29.6551731,8/6/2023 0:43:17
2023-08-06,0:45:27,-82.4188547,29.6550829,8/6/2023 0:45:27
2023-08-06,0:47:41,-82.418594,29.6556824,8/6/2023 0:47:41
2023-08-06,0:49:48,-82.4186713,29.6556247,8/6/2023 0:49:48
2023-08-06,0:52:00,-82.4186792,29.6556807,8/6/2023 0:52:00
2023-08-06,0:54:00,-82.4186798,29.6556662,8/6/2023 0:54:00
2023-08-06,0:57:00,-82.4196991,29.6556395,8/6/2023 0:57:00
2023-08-06,0:57:42,-82.4187142,29.6554122,8/6/2023 0:57:42
2023-08-06,0:58:05,-82.4221742,29.6562561,8/6/2023 0:58:05
2023-08-06,0:59:11,-82.4196413,29.658254,8/6/2023 0:59:11
2023-08-06,1:00:16,-82.4097276,29.6485753,8/6/2023 1:00:16
2023-08-06,1:01:26,-82.3990543,29.6354376,8/6/2023 1:01:26
2023-08-06,1:02:36,-82.3893408,29.6216639,8/6/2023 1:02:36
2023-08-06,1:03:41,-82.378701,29.6078866,8/6/2023 1:03:41
2023-08-06,1:04:46,-82.3727114,29.6024561,8/6/2023 1:04:46
2023-08-06,1:05:56,-82.3606722,29.6111455,8/6/2023 1:05:56
2023-08-06,1:07:01,-82.3502145,29.6141905,8/6/2023 1:07:01
2023-08-06,1:08:06,-82.3412958,29.6147496,8/6/2023 1:08:06
2023-08-06,1:09:11,-82.3405176,29.6163629,8/6/2023 1:09:11
2023-08-06,1:09:26,-82.3401017,29.619075,8/6/2023 1:09:26
2023-08-06,1:10:31,-82.3393888,29.6240337,8/6/2023 1:10:31
2023-08-06,1:11:41,-82.3403975,29.6244315,8/6/2023 1:11:41
2023-08-06,1:12:38,-82.3411945,29.6260101,8/6/2023 1:12:38
2023-08-06,1:12:40,-82.3411594,29.6259687,8/6/2023 1:12:40
2023-08-06,1:12:51,-82.3410064,29.6259154,8/6/2023 1:12:51
2023-08-06,1:13:13,-82.3410079,29.6259277,8/6/2023 1:13:13
2023-08-06,6:09:55,-82.3411525,29.6260049,8/6/2023 6:09:55
2023-08-06,6:16:11,-82.3411525,29.6260049,8/6/2023 6:16:11
2023-08-06,8:15:35,-82.3411525,29.6260049,8/6/2023 8:15:35
2023-08-06,8:21:22,-82.3411525,29.6260049,8/6/2023 8:21:22
2023-08-06,9:41:05,-82.3411525,29.6260049,8/6/2023 9:41:05
2023-08-06,9:47:52,-82.3411525,29.6260049,8/6/2023 9:47:52
2023-08-06,10:30:56,-82.3411525,29.6260049,8/6/2023 10:30:56
2023-08-06,10:36:43,-82.3411525,29.6260049,8/6/2023 10:36:43
2023-08-06,10:44:42,-82.3411525,29.6260049,8/6/2023 10:44:42
2023-08-06,10:53:16,-82.3411525,29.6260049,8/6/2023 10:53:16
2023-08-06,10:58:16,-82.3411525,29.6260049,8/6/2023 10:58:16
8/6/2023,4:23:11 PM,-82.38614722,29.62718889,8/6/2023 16:23:11
2023-08-06,18:12:18,-82.3411525,29.6260049,8/6/2023 18:12:18
