Lat,Long,Time
29.621836154769344,-82.3400952097547,1739403483.321395
29.626258265064013,-82.34122140304818,1739404334.8559852
29.626005802245057,-82.34118490625409,1739421698.747188
29.621486342539658,-82.33989184729973,1739461771.1250238
29.603783356584792,-82.37108719345414,1739462082.274168
29.659958720307948,-82.41952702664759,1739462394.761448
29.688449462797013,-82.43950182382437,1739462697.482559
29.6817959483493,-82.43059874217728,1739463029.415825
29.67924737871077,-82.43495169735162,1739471413.419241
29.682520746070487,-82.43133364926067,1739481419.235159
29.689371531381738,-82.4411177372485,1739481747.985989
29.66722450175585,-82.42780421221725,1739482069.325167
29.60085133230385,-82.37482671024559,1739482375.130749
29.61507070234751,-82.34101838932432,1739482754.4137158
29.625709735745186,-82.34119200155143,1739483059.1603541
29.626004742691556,-82.34118709244524,1739502906.579777
29.63027752224642,-82.33930608913944,1739640236.1287441
29.64471141100852,-82.33931090921205,1739640537.095294
29.646226755064657,-82.3483789035637,1739640837.107923
29.649456312438602,-82.34470994235754,1739641773.0911121
29.645053394772418,-82.34354652098992,1739649609.1041331
29.636975913764523,-82.33939380235729,1739649909.083036
29.625326600296372,-82.3408778728074,1739650223.848309
29.626013120057753,-82.34115565858829,1739719603.132231
29.626013120057753,-82.34115565858829,1739734455.955035
29.620923446430087,-82.34062722752476,1739734501.3810449
29.604022395824643,-82.37443526283127,1739734802.124874
29.672395712853625,-82.43110410624259,1739735130.995469
29.684255947031556,-82.43941612830783,1739735451.255669
29.68243597998593,-82.43228527115654,1739735799.405947
29.683274696252827,-82.43878132258125,1739753433.717794
29.673817304882615,-82.43343168082808,1739753740.880554
29.60454165012258,-82.37622250766202,1739754057.316791
29.620167850987286,-82.33974315670469,1739754384.199562
29.626013120057753,-82.34115565858829,1739754706.4098701
29.626013120057753,-82.34115565858829,1739806262.174848
29.62601840406645,-82.34115916076719,1739808147.3570461
29.62149546011756,-82.33991191366549,1739824745.1370401
29.60532904623447,-82.3688752475465,1739825046.090879
29.657274356205527,-82.41674467225157,1739825346.1418571
29.688666210325128,-82.44452293883553,1739825647.100177
29.682713647418872,-82.43318142388902,1739825948.0926108
29.683464544314177,-82.43904128537018,1739843969.967739
29.672438257866787,-82.43127122258252,1739844273.112304
29.603534744010393,-82.3713913333585,1739844652.481094
29.624807626667817,-82.34092095909247,1739844956.9321551
29.62601840406645,-82.34115916076719,1739870306.447026
29.61468834983456,-82.34744576113812,1739898759.2046351
29.607371561704884,-82.37751623409295,1739899063.3618069
29.678198395603452,-82.43575183423238,1739899364.16098
29.682214003446024,-82.43100768981557,1739905270.69807
29.66806614978669,-82.42666727723035,1739905636.299583
29.602320492295178,-82.37497882925194,1739905936.900698
29.614790710648162,-82.34097386718014,1739906237.090271
29.62601840406645,-82.34115916076719,1739906558.0056682
29.62599786965631,-82.34113572198459,1739920872.60025
29.62601840406645,-82.34115916076719,1739921875.866539
29.615057826023573,-82.34099178672975,1739985102.053967
29.604488469410335,-82.3733938015891,1739985416.290911
29.624825147939497,-82.38532620489819,1739985717.0932388
29.621272425024628,-82.38090721848259,1739986392.373777
29.62222720398473,-82.38605348469477,1739986746.97139
29.640692815721145,-82.40074147117551,1739987057.12005
29.683955556216482,-82.43905833596826,1739987422.350915
29.682525518226964,-82.43082009405705,1739987774.710021
29.682702327274914,-82.43690710995271,1740009513.7980518
29.67337480748973,-82.43168860681581,1740009814.104515
29.616042016167714,-82.38974745473104,1740010119.4947538
29.62669916586784,-82.38650080785632,1740010433.324852
29.6186689376942,-82.38376939759111,1740011567.285756
29.604022053250908,-82.37130774389809,1740011869.1672401
29.62478651839549,-82.34098996016259,1740012184.024267
29.64467974959132,-82.33815572819236,1740056688.4908571
29.626091886767416,-82.341225473164,1740057019.259629
29.61432764930044,-82.34870993890101,1740065793.471564
29.619780541425214,-82.38760977059825,1740066094.127307
29.684248702699517,-82.44119864434263,1740066394.640088
29.682690753215386,-82.43199253471303,1740066735.44325
29.68271231369447,-82.43728939366721,1740083840.630563
29.68872742167354,-82.44406160966196,1740084147.162704
29.64399126713369,-82.4063010129358,1740084450.204803
29.602556385686416,-82.37255291326757,1740084751.0769749
29.615064210979895,-82.34102094739137,1740085067.515322
29.62532660974867,-82.34084862507333,1740085378.054034
29.626018489991623,-82.34115922737136,1740090045.481149
29.626018053925456,-82.34129810343377,1740090117.927682
29.63683076853798,-82.33853639320736,1740162816.6584082
29.66628801279437,-82.33915678854545,1740163116.114756
29.666845248987908,-82.37218795783198,1740163417.0984368
29.674186804102014,-82.40113302486317,1740163717.142659
29.67431487201341,-82.43170930807243,1740164018.096376
29.68249517822013,-82.43232190556814,1740164416.675292
29.682654592408962,-82.43215370589459,1740170256.3598552
29.68265498891554,-82.43215029441059,1740170256.5394921
29.68265484178093,-82.4321507161186,1740170256.540039
29.687892717134087,-82.42999886460038,1740173438.1752682
29.68896238136076,-82.43507531479227,1740177603.157624
29.690996502692972,-82.4401732619365,1740178013.093214
29.650921249403382,-82.41202697697327,1740178601.508706
29.606165463298645,-82.36758847601202,1740178943.906269
29.622844488963707,-82.33920983088885,1740179296.4279141
29.61841255498622,-82.3403569361839,1740242342.1164088
29.608404798805612,-82.37136127905933,1740242643.462395
29.60877967811872,-82.37853969512936,1740242944.101108
29.62125239674476,-82.38386333450448,1740243246.1352792
29.62669868108852,-82.3871643816474,1740243602.325835
29.624405193361287,-82.38253580308493,1740244417.734035
29.623484755893816,-82.3738412373535,1740244718.110975
29.615843824763882,-82.37202941603816,1740245191.39474
