Latitude,Longitude,Datetime
29.5130911,-82.2879136,1721443305
29.5112022,-82.2808646,1721443375
29.5074778,-82.2795026,1721443440
29.5113305,-82.2797132,1721443505
29.5139449,-82.2900914,1721443570
29.5051475,-82.2911018,1721443635
29.4968789,-82.2951492,1721443705
29.4840227,-82.2872799,1721443770
29.4691701,-82.275176,1721443840
29.4511697,-82.2685047,1721443904
29.432142,-82.26358,1721443975
29.4155969,-82.2542055,1721444039
29.4004025,-82.2429823,1721444109
29.383264,-82.2343009,1721444174
29.3656996,-82.2260289,1721444239
29.3483236,-82.2195571,1721444309
29.3276504,-82.2136965,1721444374
29.3097004,-82.2083525,1721444439
29.2918702,-82.2022604,1721444509
29.2741162,-82.1958396,1721444580
29.2554885,-82.1899547,1721444649
29.238387,-82.1901208,1721444715
29.2217233,-82.1845615,1721444784
29.2025812,-82.1847262,1721444854
29.185712,-82.1848683,1721444919
29.1686706,-82.1850125,1721444984
29.1501228,-82.185173,1721445054
29.132436,-82.1848758,1721445119
29.1150188,-82.1849698,1721445184
29.0979969,-82.1850772,1721445249
29.0813553,-82.185176,1721445314
29.0661524,-82.1773983,1721445379
29.0524111,-82.1690423,1721445444
29.0362265,-82.1609176,1721445514
29.0296325,-82.1589707,1721445541
29.024984,-82.1593775,1721445550
29.0258474,-82.1583433,1721445609
29.0255815,-82.156022,1721445674
29.0255684,-82.1584558,1721445739
29.0253995,-82.159424,1721445804
29.0250131,-82.1593727,1721445869
29.0249857,-82.1593644,1721445934
29.0250162,-82.1590603,1721446008
29.0250023,-82.1590651,1721446080
29.0250204,-82.1590596,1721446149
29.0249929,-82.1593662,1721446212
29.0249973,-82.1591499,1721446281
29.0249753,-82.1591476,1721446347
29.025033,-82.159137,1721446416
29.0253563,-82.1588968,1721446487
29.0252173,-82.1587598,1721446523
29.0157842,-82.1547508,1721446556
28.998187,-82.1466073,1721446621
28.9813046,-82.1362433,1721446686
28.9663395,-82.1271535,1721446751
28.9476685,-82.1173281,1721446816
28.92782,-82.1121669,1721446881
28.9087519,-82.1087554,1721446946
28.8894354,-82.0975723,1721447011
28.8689132,-82.0922236,1721447081
28.8516083,-82.0851068,1721447151
28.8437985,-82.0657162,1721447216
28.835368,-82.0425588,1721447286
28.8232264,-82.0241274,1721447356
28.8081904,-82.0082448,1721447426
28.7934316,-81.9926658,1721447496
28.782695,-81.9751199,1721447561
28.7721868,-81.9567163,1721447626
28.7579851,-81.9415841,1721447691
28.7401588,-81.9227933,1721447761
28.7258156,-81.907683,1721447826
28.7104415,-81.8914885,1721447891
28.6958836,-81.8761672,1721447956
28.681042,-81.8605334,1721448021
28.6692004,-81.8414888,1721448086
28.6584273,-81.820151,1721448156
28.6484689,-81.8008088,1721448221
28.6362166,-81.7794039,1721448291
28.6263978,-81.7597818,1721448356
28.6167731,-81.7411664,1721448421
28.6049965,-81.7239238,1721448491
28.5884277,-81.7102028,1721448561
28.5713489,-81.6952159,1721448631
28.5597926,-81.679388,1721448696
28.5532805,-81.6554509,1721448766
28.5482801,-81.6341262,1721448831
28.5450575,-81.6106506,1721448896
28.5451592,-81.5866647,1721448961
28.5464166,-81.561979,1721449031
28.5431533,-81.5372685,1721449101
28.527892,-81.5173337,1721449172
28.5136102,-81.4997165,1721449241
28.4995766,-81.4789002,1721449312
28.4887007,-81.4576262,1721449376
28.4697331,-81.4423081,1721449447
28.4516704,-81.422063,1721449516
28.4339012,-81.4095301,1721449586
28.4263875,-81.4011128,1721449652
28.435627,-81.4014751,1721449722
28.4435543,-81.3861497,1721449787
28.4458573,-81.3675075,1721449852
28.4507659,-81.3460744,1721449922
28.4513135,-81.3254619,1721449992
28.4493966,-81.311045,1721450057
28.4382385,-81.310704,1721450127
28.4281193,-81.3107935,1721450192
28.4201115,-81.3072318,1721450256
28.4137993,-81.3102809,1721450298
28.4153402,-81.3094222,1721450327
28.4135658,-81.3099826,1721450406
28.4137565,-81.3104322,1721450462
28.4135921,-81.3103241,1721450543
28.4135272,-81.3102966,1721450581
28.4135922,-81.3103796,1721450665
28.4135841,-81.310441,1721450734
28.4136572,-81.3104555,1721450800
28.4136216,-81.3103957,1721450870
28.4136355,-81.3104006,1721450935
28.4136614,-81.3104199,1721451005
28.4136687,-81.31041,1721451070
28.4137152,-81.3104256,1721451140
28.4136834,-81.3104652,1721451205
28.4136424,-81.3104626,1721451275
28.4136238,-81.3104311,1721451340
28.4136765,-81.3104255,1721451405
28.4136209,-81.3104437,1721451475
28.4136214,-81.3104198,1721451540
28.4136876,-81.3103956,1721451605
28.4136374,-81.3104029,1721451670
28.4136233,-81.3104265,1721451735
28.4135711,-81.3104385,1721451804
28.4135711,-81.3104385,1721451870
28.4136341,-81.3104214,1721451934
28.4136542,-81.3103839,1721451999
28.41359,-81.3103939,1721452064
28.4135956,-81.3104185,1721452129
28.4136558,-81.3103757,1721452199
28.4136573,-81.3103842,1721452274
28.4136348,-81.3103771,1721452342
28.4135768,-81.310403,1721452412
28.4136456,-81.3104103,1721452482
28.4136455,-81.3104088,1721452547
28.4137185,-81.3104548,1721452617
28.4137162,-81.3103812,1721452682
28.4135984,-81.3104167,1721452748
28.4135694,-81.3104357,1721452818
28.4135562,-81.3104792,1721452887
28.4136314,-81.3105124,1721452957
28.4136089,-81.3105455,1721453022
28.4135861,-81.3104874,1721453092
28.4136335,-81.3105428,1721453158
28.4135962,-81.3104168,1721453228
28.4136847,-81.31047,1721453294
28.4136816,-81.310455,1721453364
28.4137037,-81.3104566,1721453432
28.4137004,-81.3104551,1721453501
28.413694,-81.3104311,1721453567
28.4137018,-81.3104397,1721453633
28.4137247,-81.3103469,1721453698
28.4137032,-81.3103913,1721453763
28.4136979,-81.3103595,1721453828
28.4136863,-81.3103939,1721453893
28.4135954,-81.3104147,1721453965
28.4135963,-81.3104259,1721454035
28.4135932,-81.3103942,1721454102
28.4136047,-81.3104102,1721454167
28.4136493,-81.3104432,1721454237
28.4136066,-81.3104537,1721454302
28.4136591,-81.3104529,1721454369
28.4136266,-81.3103837,1721454433
28.413575,-81.3103819,1721454504
28.413595,-81.3103907,1721454565
28.4136978,-81.3101359,1721454710
28.413659,-81.3102762,1721454828
28.4136302,-81.3103691,1721455058
28.4137212,-81.3106492,1721455211
28.4135626,-81.3100226,1721455358
28.4136778,-81.3103756,1721455438
28.4109132,-81.3094365,1721455471
28.4109691,-81.3097196,1721455592
28.4109163,-81.3096433,1721455781
28.4106267,-81.3096623,1721455924
28.4108525,-81.3096477,1721455980
28.4086411,-81.3074915,1721456087
28.4111705,-81.3040189,1721456129
